정관사,단어,뜻,중요도,pos,,
,anstatt,대신,2,verb,,
,anstecken,찔러박다,2,verb,,
,anstehen,차례를 기다리다,1,verb,,
,ansteigen,오르다,1,verb,,
,anstellen,"놓다, 세우다, 고용하다",2,verb,,
,anstrengen,열과 성을 쏟다,2,verb,,
die,Anstrengung,전력투구,1,noun,,
der,Anteil,"몫, 배당",2,noun,,
die,Antenne,안테나,1,noun,,
,antik,고대의,1,verb,,
der,Antrag,"신청, 청구",2,noun,,
der,Antreib,"동기, 동인",1,noun,,
,antreten,"시작하다, 시동걸다",2,verb,,
der,Antritt,시작,1,noun,,
,antun,"베풀다, ~하다",2,verb,,
die,Antwort,대답,2,noun,,
,antworten,대답하다,3,verb,,
,anvertrauen,맡기다,2,verb,,
der,Anwalt,변호사,1,noun,,
,anweisen,"맡기다, 지시하다",1,verb,,
die,Anweisung,"지시, 지정",1,noun,,
,anwenden,"사용하다, 쓰다",2,verb,,
die,Anwendung,이용,1,noun,,
,anwesend,출석한,2,verb,,
die,Anzahl,약간의 수,2,noun,,
die,Anzeige,광고,2,noun,,
,anzeigen,"알리다, 고발하다",2,verb,,
,anziehen,입히다,3,verb,,
der,Anzug,신사복,3,noun,,
der,Apfel,사과,3,noun,,
die,Apotheke,약국,3,noun,,
der,Apotheker,약사,1,noun,,
der,Apparat,"장치, 기구",3,noun,,
der,Appetit,식욕,2,noun,,
die,Arbeit,노동,2,noun,,
der,Arbeiter,노동자,2,noun,,
,arbeitslos,무직의,1,adjective,,
der,Ärger,"불만, 짜증",2,noun,,
,ärgerlich,화난,3,adjective,,
,ärgern,화나게 하다,3,verb,,
der,Argwohn,의심,1,noun,,
,arm,"불쌍한, 가난한",3,verb,,
der,Arm,팔,3,noun,,
die,Armee,군대,2,noun,,
der,Ärmel,소매,2,noun,,
die,Armut,"가난, 빈곤, 결핍",2,noun,,
,artig,"점잖은, 얌전한",2,adjective,,
der,Artikel,"조항, 항목",2,noun,,
die,Arznei,약,2,noun,,
der,Arzt,의사,3,noun,,
,ärztlich,의사의,1,adjective,,
die,Asche,재,2,noun,,
고,Asien,아시아,1,verb,,
der,Aspekt,"관점, 시각",1,noun,,
der,Ast,큰 가지,2,noun,,
die,Ästhetik,미학,1,noun,,
der,Atem,"숨, 호흡",2,noun,,
,atmen,"숨쉬다, 호흡하다",2,verb,,
das,Atom,원자,2,noun,,
das,Attibut,속성,1,noun,,
,aufatmen,호흡하다,1,verb,,
der,Aufbau,"설립, 구축",1,noun,,
,aufbauen,"설립하다, 구축하다",1,verb,,
,aufbewahren,보존하다,1,verb,,
,aufbleiben,깨어있다,1,verb,,
,aufblühen,번성하다,2,verb,,
,aufbrechen,"억지로 열다, 갈라지다",2,verb,,
,aufbringen,"조달하다, 구하다",1,verb,,
,aufdecken,덮개를 벗기다,1,verb,,
,aufdrehen,"열다, 풀다",1,verb,,
,aufeinander,"겹쳐서, 포개어, 잇달아",2,verb,,
der,Aufenhalt,"체재, 체류",2,noun,,
die,Auferstehung,"소생, 부활",1,noun,,
,auffahren,추돌하다,1,verb,,
,auffallen,"눈에 띄다, 두드러지다",2,verb,,
,auffangen,붙잡다,1,verb,,
,auffassen,이해하다,2,verb,,
,auffordern,"요청하다, 재촉하다",2,verb,,
,aufführen,"연주하다, 상연하다",2,verb,,
die,Aufführung,상연,1,noun,,
die,Aufgabe,"과제, 임무",3,noun,,
der,Aufgang,해돋이,1,noun,,
,aufgeben,맡기다,2,verb,,
,aufgehen,"뜨다, 열리다, 몰두하다",2,verb,,
,aufhalten,"막다, 저지하다",2,verb,,
,aufhängen,"걸다, 매달다",1,verb,,
,aufheben,"들다, 보관하다, 폐지하다",2,verb,,
,aufhören,그만두다,3,verb,,
,aufklären,해명하다,2,verb,,
die,Aufklärung,계몽,1,noun,,
,aufkommen,"일어나다, 생기다",1,verb,,
,aufkündigen,해약하다,1,verb,,
die,Auflage,(책의) 판,2,noun,,
,auflegen,"위에 놓다, 싣다",1,verb,,
,auflehnen,올려놓다,1,verb,,
,auflösen,"녹이다, 풀다, 폐지하다",2,verb,,
,aufmerksam,주의깊은,2,adjective,,
die,Aufmerksamkeit,주의,1,noun,,
,aufmuntern,즐겁게 하다,1,verb,,
die,Aufnahme,"개시, 수용, 작성, 촬영",2,noun,,
,aufnehmen,"집어올리다, 수용하다, 촬영하다",2,verb,,
,aufpassen,"주의하다, 돌보다",3,verb,,
,aufräumen,"치우다, 청소하다",3,verb,,
,aufrecht,똑바른,2,verb,,
,aufregen,흥분시키다,2,verb,,
die,Aufregung,흥분,1,noun,,
,aufreißen,"찢어뜯다, 열어젖히다",1,verb,,
,aufrichten,"똑바로 일으키다, 격려하다",2,verb,,
,aufrichtig,솔직한,2,adjective,,
der,Aufruhr,"소동, 폭동",1,noun,,
der,Aufsatz,"작문, 논문",2,noun,,
,aufschieben,"연기하다, 유예하다",2,verb,,
der,Aufschlag,추락,1,noun,,
,aufschlagen,"깨뜨리다, 떨어져 부딪치다",2,verb,,
,aufschließen,"열다, 해명하다",2,verb,,
der,Aufschluss,해명,1,noun,,
,aufschneiden,절개하다,1,verb,,
,aufschreiben,기입하다,1,verb,,
der,Aufschwung,비약,1,noun,,
das,Aufsehen,주목,2,noun,,
,aufsehen,주목하다,1,verb,,
,aufsetzen,"놓다, 얹다",2,verb,,
die,Aufsicht,"감독, 감시",2,noun,,
,aufspringen,"뛰어오르다, 활짝열리다",2,verb,,
der,Aufstand,"봉기, 반란",2,noun,,
,aufstehen,"열려있다, 일어서다",3,verb,,
,aufsteigen,"오르다, 올라타다",2,verb,,
,aufstellen,세우다,2,verb,,
der,Aufstieg,"상승, 등정, 이륙",1,noun,,
,auftauchen,떠오르다,1,verb,,
der,Auftrag,"지시, 위임",2,noun,,
,auftragen,"(음식) 식탁에 차리다, 바르다",1,verb,,
,auftreiben,"위로 올리다, 일으키다",1,verb,,
,auftreten,"밟다, 행동하다",2,verb,,
der,Auftritt,"등장, 출연, 장",1,noun,,
,auftun,"열다, 위에 얹다",1,verb,,
,aufwachen,"눈뜨다, 정신이 들다",1,verb,,
,aufwachsen,"자라다,",1,verb,,
der,Aufwand,"비용, 낭비",1,noun,,
,aufwärmen,"다시 데우다, 다시 꺼내다",2,verb,,
,aufwärts,위쪽으로,2,adverb,,
,aufwecken,깨우다,1,verb,,
,aufwiegeln,선동하다,1,verb,,
,aufziehen,"끌어올리다, 열다",2,verb,,
der,Aufzug,"행진, 승강기",1,noun,,
das,Auge,눈,3,noun,,
der,Augenblick,순간,2,noun,,
,Augenblicklich,당장의,1,adjective,,
der,Augenschein,외관,1,noun,,
,ausarbeiten,완성하다,1,verb,,
,ausarten,악화되다,1,verb,,
,ausbessern,수선하다,2,verb,,
die,Ausbeute,"이득, 생산량",1,noun,,
,ausbeuten,"채굴하다, 이용하다",1,verb,,
,ausbilden,양성하다,2,verb,,
die,Ausbildung,교육,1,noun,,
,ausbleiben,일어나지 않다,1,verb,,
der,Ausblick,"조망, 전망",2,noun,,
der,Ausblund,"표본, 화신",1,noun,,
,ausbrechen,"헐어내다, 뽑다",1,verb,,
,ausbreiten,"펴다, 설명하다",2,verb,,
die,Ausdauer,인내력,2,noun,,
,ausdauern,오래가다,1,verb,,
,ausdehnen,"넓히다, 팽창시키다",2,verb,,
,ausdenken,생각해내다,1,verb,,
der,Ausdruck,표시,2,noun,,
,ausdrücken,표현하다,2,verb,,
,ausdrücklich,명확한,1,adjective,,
,ausdrucksvoll,감정이 풍부한,1,adjective,,
,auseinander,"떨어져, 따로따로",2,verb,,
,auseinandersetzen,"설명하다, 논술하다",2,verb,,
,ausfahren,"차를타고나가다, 출항하다",1,verb,,
die,Ausfahrt,출발,2,noun,,
,ausfallen,"탈락하다, 빠지다",2,verb,,
,ausfliegen,밖으로 날아가다,1,verb,,
die,Ausflucht,핑계,1,noun,,
der,Ausflug,소풍,2,noun,,
die,Ausfuhr,수출,2,noun,,
,ausführen,"수출하다, 실행하다",2,verb,,
,ausführlich,상세한,2,adjective,,
die,Ausführung,실행,1,noun,,
,ausfüllen,가득 채우다,1,verb,,
die,Ausgabe,"지출, 비용",2,noun,,
der,Ausgang,외출,2,noun,,
,ausgeben,지출하다,2,verb,,
,ausgehen,나가다,2,verb,,
,ausgelassen,생기발랄한,1,verb,,
,ausgemacht,"확실한, 완전한",1,verb,,
,ausgeschlossen,"불가능한, 있을수없는",1,verb,,
,ausgezeichnet,"뛰어난, 매우",2,verb,,
,ausgleichen,평준화하다,1,verb,,
,aushalten,"참다, 견디다",2,verb,,
,ausheben,"끄집어내다, 뽑아내다",1,verb,,
,auskleiden,옷을 벗기다,1,verb,,
,auskommen,사이좋게 지내다,2,verb,,
die,Auskunft,"알림, 안내",3,noun,,
das,Ausland,외국,3,noun,,
der,Ausländer,외국인,2,noun,,
,ausländish,외국의,2,verb,,
,auslassen,"빠뜨리다, 누락시키다",2,verb,,
,ausleeren,비우다,1,verb,,
,auslegen,진열하다,1,verb,,
die,Auslese,"선택, 선발",1,noun,,
,auslesen,"선택하다, 선발하다",1,verb,,
,auslöschen,"끄다, 지우다",2,verb,,
,auslösen,작동시키다,1,verb,,
,ausmachen,"끄다, 끝내다",2,verb,,
die,Ausnahme,"제외, 예외",2,noun,,
,ausnehmen,"꺼내다, 제외하다",1,verb,,
,auspacken,포장을 뜯고 꺼내다,1,verb,,
,ausrechnen,계산하다,1,verb,,
die,Ausrede,핑계,2,noun,,
,ausreichen,"넉넉하다, 족하다",2,verb,,
,ausreichend,충분한,2,verb,,
,ausrichten,"개최하다, 거행하다",1,verb,,
,ausrufen,외치다,1,verb,,
,ausruhen,쉬다,1,verb,,
,ausrüsten,준비하다,1,verb,,
die,Aussage,"진술, 보고",1,noun,,
,aussagen,진술하다,1,verb,,
der,Aussatz,나병,1,noun,,
,ausschalten,스위치 끄다,1,verb,,
,ausscheiden,"배설하다, 분리하다",2,verb,,
,ausschlafen,충분히 자다,1,verb,,
,ausschließen,"쫓아내다, 제명하다",1,verb,,
der,Ausschnitt,"부분, 틈",1,noun,,
der,Ausschuss,위원회,2,noun,,
,aussehen,~처럼 보이다,3,verb,,
,außen,밖에,2,verb,,
